url_id,total_meters,floor,floors_count,district,price
300098216,33.1,5,9,Восточное Дегунино,10190000
293823518,29.8,6,6,Восточное Измайлово,5699000
298204489,33.0,14,16,,8800000
298414628,38.0,12,12,Северное Тушино,12999999
301185504,40.0,8,17,Марфино,13000000
300146314,41.0,15,22,Ново-Переделкино,9900000
301279667,30.0,20,31,Марфино,14950000
301150654,38.0,8,17,Москворечье-Сабурово,10300000
301102672,36.0,4,22,,11400000
301169136,43.4,13,19,,10500000
299565654,34.0,5,9,Северное Измайлово,8680000
299800501,57.4,23,25,Покровское-Стрешнево,13930000
300849956,40.0,7,19,Покровское-Стрешнево,18400000
301131179,38.7,3,12,Бибирево,10500000
301214752,26.6,6,31,Марфино,13500000
295677601,39.3,12,14,Перово,11900000
301108336,38.0,17,17,Западное Дегунино,9700000
297511312,42.0,9,48,Хорошево-Мневники,24200000
298572994,37.5,5,14,Котловка,12500000
298068780,52.7,5,7,Басманный,19250000
299329406,30.0,5,5,Перово,10000000
298195100,38.8,10,12,,9500000
299553350,35.0,4,12,Рязанский,9700000
298260764,42.0,15,17,Кузьминки,13300000
279125910,33.0,6,15,Хорошевский,17000000
298868538,29.6,1,5,Покровское-Стрешнево,8590000
300833061,43.7,2,14,Лефортово,19990000
299979419,40.0,2,16,Северное Тушино,10890000
299772602,46.0,29,29,Нижегородский,16500000
300197626,32.2,7,9,Чертаново Южное,12400000
301035602,38.6,29,33,Дмитровский,12700000
298515828,40.0,17,20,,13350000
297908781,35.5,2,10,Академический,12850000
298982026,34.8,6,16,Дмитровский,13500000
296361605,46.4,11,34,Обручевский,19990000
297150066,63.0,6,24,Крылатское,21800000
299202447,37.4,9,31,Раменки,23000000
297944362,38.0,8,14,,11350000
298527239,37.0,13,17,Ростокино,14000000
301003683,31.8,5,5,Хорошево-Мневники,14500000
300458799,36.7,1,17,Западное Дегунино,10800000
299609970,47.7,1,9,Кунцево,21586085
297245626,47.0,2,32,Хорошево-Мневники,21950000
298273992,38.1,2,15,,8500000
300741487,35.0,10,12,Метрогородок,8350000
298794106,19.1,7,7,Марьина роща,7490000
298373539,31.7,6,14,,8400000
298213083,41.8,2,3,,8500000
301039593,32.6,3,4,,7300000
300373282,40.1,6,17,Ново-Переделкино,11300000
300309603,37.7,1,17,Коньково,11500000
297248362,35.0,2,5,,4500000
299744045,35.0,3,5,Коптево,11500000
301036306,38.0,8,9,Лосиноостровский,11590000
300925449,51.4,7,9,Кунцево,26823964
300605973,32.3,15,15,,9700000
300110671,37.7,7,27,Очаково-Матвеевское,18700000
301175786,34.0,6,28,Лефортово,18990000
300779111,38.0,14,17,Южное Медведково,10500000
299592914,37.6,37,62,Хорошево-Мневники,18500000
297298638,38.0,11,23,Хорошево-Мневники,20200000
301249569,34.5,3,5,Котловка,11200000
300190621,34.9,10,14,,7850000
299132838,40.0,3,23,Измайлово,12400000
300333477,35.0,3,16,Митино,10700000
301120308,38.0,8,9,Лосиноостровский,11590000
300485113,38.3,9,16,Ярославский,8700000
300865793,44.0,7,8,Солнцево,12450000
301260551,30.0,4,9,Левобережный,9650000
301074815,25.5,4,9,Хорошево-Мневники,10700000
300986067,33.0,4,5,Богородское,9900000
291997496,38.3,5,13,,8200000
300463313,44.0,9,27,Хорошевский,24000000
301185262,38.3,12,17,Некрасовка,8100000
297937991,40.6,4,12,Косино-Ухтомский,9500000
298009513,38.5,22,22,Крылатское,19000000
299233130,35.5,7,9,,7290000
299928892,39.8,6,24,Рязанский,14100000
298251566,34.2,3,13,,7290000
299798021,31.0,2,9,Соколиная гора,9300000
298375955,32.5,8,9,Бескудниковский,9999000
301081025,40.2,9,25,,13450000
301207400,41.8,19,22,Марьино,12500000
298036066,39.1,1,12,Восточное Дегунино,9400000
294670793,38.0,9,25,Хорошево-Мневники,18600000
295181332,42.0,16,25,Раменки,14500000
300110674,45.0,19,29,Очаково-Матвеевское,16490000
298169285,32.1,1,9,Обручевский,10500000
300692309,33.6,1,14,Щукино,10800000
300472192,43.0,5,27,Хорошевский,22000000
298801000,37.8,16,17,,9850000
300253722,31.0,2,5,,8160000
300113747,37.4,20,30,Можайский,15950000
300924078,35.4,1,9,Кунцево,18204388
300870617,32.0,2,9,Кунцево,11250000
297594962,34.0,13,16,,9500000
296463328,50.9,4,9,Кунцево,25772271
300365708,39.5,10,16,Строгино,13300000
300925204,55.1,5,9,Кунцево,28278181
301036468,36.0,3,16,Митино,10700000
301122947,38.6,4,14,Можайский,9150000
300127778,33.0,4,5,Академический,12000000
301133638,45.0,3,48,Бутырский,20000000
300441809,36.0,7,14,,10350000
300329735,40.0,1,14,Марьина роща,15800000
301246304,0.5,3,12,Строгино,11200000
299048440,36.0,6,12,Выхино-Жулебино,8900000
300743586,34.0,12,33,Западное Дегунино,11500000
300448810,38.0,14,14,Косино-Ухтомский,9100000
301179353,42.0,15,25,Нижегородский,17950000
287487167,33.0,4,9,Ярославский,9300000
301063688,32.5,5,9,Зябликово,9100000
299752452,39.0,1,4,,4800000
300695623,42.0,5,14,Хамовники,23400000
296836592,33.0,8,12,Мещанский,18900000
300980632,33.0,9,9,Коньково,13490000
300564827,35.4,13,16,Донской,12500000
300282132,37.4,3,14,Южное Бутово,9490000
295649148,18.9,3,3,Басманный,5570000
300670903,35.9,7,9,Хорошево-Мневники,12500000
301158947,37.9,4,17,Северное Бутово,9800000
299881508,37.6,6,17,Марьино,9500000
300009662,38.0,15,16,Отрадное,10200000
301185342,25.8,15,16,Проспект Вернадского,14400000
300857379,42.5,2,14,,8400000
289977915,50.3,14,17,Косино-Ухтомский,11900000
297827625,49.0,20,23,Можайский,25200000
300884409,32.9,7,9,Вешняки,8900000
297967528,38.0,15,19,Северный,12500000
300122976,41.0,8,14,Печатники,12590000
295977963,39.2,1,12,Ивановское,8450000
301201023,36.7,10,17,Москворечье-Сабурово,11300000
298907853,39.1,5,9,Алексеевский,13600000
301184187,28.0,12,41,Раменки,16200000
296556180,31.0,5,5,Дорогомилово,14900000
296562644,41.2,7,14,Чертаново Северное,10600000
299719558,38.9,2,12,Свиблово,11500000
300134950,32.0,1,17,Царицыно,8100000
301075684,35.0,4,12,Выхино-Жулебино,11200000
300297108,34.0,21,22,Хорошевский,17000000
301271454,35.0,14,16,Теплый Стан,11500000
300281735,37.0,10,17,Царицыно,9730000
300974350,38.5,8,21,Хорошево-Мневники,14650000
298908066,28.0,1,17,,6200000
288041113,10.1,3,6,Чертаново Северное,4650000
299928314,38.3,2,17,Солнцево,10500000
300882682,37.7,12,17,Ново-Переделкино,10000000
298569707,36.6,11,14,Южное Бутово,8950000
299938068,37.9,14,17,Братеево,10450000
298645710,29.0,14,22,Хорошево-Мневники,12200000
300059358,33.1,1,9,Можайский,8550000
298397251,37.0,17,17,,10620000
300622311,49.7,3,8,Лефортово,15950000
298111008,12.5,1,2,Басманный,6875000
300305254,37.9,2,31,Богородское,17950000
299253528,31.0,5,9,Филевский парк,13600000
300135242,34.0,9,9,Филевский парк,14800000
299792701,38.4,3,14,Братеево,10500000
297034119,36.0,14,18,,9400000
300443388,40.0,3,6,Щукино,18000000
